cod_ibge,ano_referencia,populacao_estimada,pib_per_capita
2105476,2017,16321,5465.54
2105500,2017,23042,8252.10
2105609,2017,15891,6133.60
2105658,2017,3237,13076.92
2105708,2017,49856,7350.49
2105807,2017,10672,6157.23
2105906,2017,16025,6192.26
2105922,2017,11048,6828.93
2105948,2017,8664,8315.56
2105963,2017,11286,6394.83
2105989,2017,7489,9408.07
2106003,2017,11695,12870.29
2106102,2017,12009,15982.68
2106201,2017,6867,6998.54
2106300,2017,19779,5837.91
2106326,2017,21293,7519.42
2106359,2017,7604,6639.93
2106375,2017,16366,5746.91
2106409,2017,16745,7313.35
2106508,2017,23091,6718.42
2106607,2017,33374,5227.84
2106631,2017,16908,4689.91
2106672,2017,8326,6038.67
2106706,2017,20613,8720.86
2106755,2017,28456,17140.57
2106805,2017,14744,6165.29
2106904,2017,33156,6005.85
2107001,2017,8889,6952.08
2107100,2017,19282,6070.17
2107209,2017,14489,4474.22
2107258,2017,5350,10437.57
2107308,2017,4586,8029.00
2107357,2017,20768,6375.96
2107407,2017,19206,7130.22
2107456,2017,14637,5780.90
2107506,2017,122420,7060.24
2107605,2017,19424,6414.64
2107704,2017,21116,6544.18
2107803,2017,34375,5805.50
2107902,2017,18839,6792.77
2108009,2017,19271,9873.70
2108058,2017,15937,6651.50
2108108,2017,20657,7052.57
2108207,2017,38365,14661.59
2108256,2017,25000,5246.76
2108306,2017,38144,4917.79
2108405,2017,14074,5462.91
2108454,2017,23019,7936.36
2108504,2017,32488,8697.55
2108603,2017,82374,10054.96
2108702,2017,20861,7063.80
2108801,2017,18413,5996.09
2108900,2017,17023,7962.23
2109007,2017,23760,19813.34
2109056,2017,5819,7200.38
2109106,2017,47239,11663.18
2109205,2017,12656,7289.03
2109239,2017,6968,6847.73
2109270,2017,18797,7237.27
2109304,2017,11474,5079.05
2109403,2017,15207,4975.60
2109452,2017,30863,6901.69
2109502,2017,19701,15729.40
2109551,2017,7691,10067.61
2109601,2017,42314,7341.33
2109700,2017,5568,38892.24
2109759,2017,7708,6119.49
2109809,2017,41891,6661.10
2109908,2017,88013,13968.64
2110005,2017,71576,7636.48
2110039,2017,24946,8083.66
2110104,2017,25334,6430.09
2110203,2017,37090,7238.02
2110237,2017,13395,4337.66
2110278,2017,15853,5113.10
2110302,2017,14222,113472.09
2110401,2017,18377,6052.46
2110500,2017,46039,5584.85
2110609,2017,28208,8792.93
2110658,2017,7291,23781.37
2110708,2017,33691,7986.76
2110807,2017,4453,10762.63
2110856,2017,11808,8097.31
2110906,2017,11976,6011.69
2111003,2017,20307,6078.84
2111029,2017,15450,5530.87
2111052,2017,10977,10648.81
2111078,2017,18345,5162.61
2111102,2017,25520,10314.34
2111201,2017,176418,11366.49
2111250,2017,7484,6979.56
2111300,2017,1091868,27335.53
2111409,2017,18247,6953.14
2111508,2017,40992,9029.81
2111532,2017,12511,7603.47
2111573,2017,4601,11254.08
2111607,2017,18680,20653.05
2111631,2017,4946,7171.86
2111672,2017,6704,6435.71
2111706,2017,20913,6316.88
2111722,2017,13949,4756.04
2111748,2017,11042,6719.71
2111763,2017,13877,10826.33
2111789,2017,11040,6092.66
2111805,2017,17851,7995.85
2111904,2017,10416,7134.98
2111953,2017,5571,7595.05
2112001,2017,8455,116414.90
2112100,2017,28635,5249.00
2112209,2017,167619,10715.71
2112233,2017,21749,8844.73
2112274,2017,5746,8143.75
2112308,2017,41342,6687.70
2112407,2017,35063,8165.64
2112456,2017,25533,6135.43
2112506,2017,58605,6730.09
2112605,2017,33038,5500.36
2112704,2017,56511,5446.43
2112803,2017,51738,7885.91
2112852,2017,13480,8027.82
2112902,2017,32267,7919.39
2113009,2017,30879,7271.61
2114007,2017,51084,7560.21
2200053,2017,6966,6370.66
2200103,2017,5062,6756.03
2200202,2017,17119,10705.30
2200251,2017,7526,6594.61
2200277,2017,4838,6977.06
2200301,2017,14070,6334.75
2200400,2017,39864,9355.46
2200459,2017,5326,13884.90
2200509,2017,17322,7766.31
2200608,2017,6684,8267.65
2200707,2017,9705,6878.52
2200806,2017,3114,22678.55
2200905,2017,5748,7876.30
2200954,2017,2511,7152.93
2201002,2017,4656,7362.97
2201051,2017,7717,6140.73
2201101,2017,11503,6760.15
2201150,2017,11375,65455.21
2201176,2017,3889,8323.73
2201200,2017,46291,7975.91
2201309,2017,3294,7353.98
2201408,2017,6925,8960.29
2201507,2017,26421,6717.19
2201556,2017,3947,8392.20
